"FOD1P" "count"
"123" "AGRICULTURAL ECONOMICS" 1854
"124" "MISCELLANEOUS BIOLOGY" 1840
"125" "BIOLOGICAL ENGINEERING" 1783
"126" "COMPUTER NETWORKING AND TELECOMMUNICATIONS" 1766
"127" "LIBRARY SCIENCE" 1481
"128" "STATISTICS AND DECISION SCIENCE" 1441
"129" "ENGINEERING TECHNOLOGIES" 1440
"130" "COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY" 1407
"131" "EDUCATIONAL PSYCHOLOGY" 1395
"132" "ENGINEERING MECHANICS PHYSICS AND SCIENCE" 1386
"133" "MATERIALS ENGINEERING AND MATERIALS SCIENCE" 1281
"134" "UNITED STATES HISTORY" 1251
"135" "COSMETOLOGY SERVICES AND CULINARY ARTS" 1242
"136" "FOOD SCIENCE" 1220
"137" "BIOMEDICAL ENGINEERING" 1190
"138" "APPLIED MATHEMATICS" 1187
"139" "BOTANY" 1125
"140" "MECHANICAL ENGINEERING RELATED TECHNOLOGIES" 1107
"141" "INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY" 1012
"142" "MISCELLANEOUS SOCIAL SCIENCES" 973
"143" "CLINICAL PSYCHOLOGY" 972
"144" "COMPUTER PROGRAMMING AND DATA PROCESSING" 953
"145" "PUBLIC POLICY" 945
"146" "METALLURGICAL ENGINEERING" 902
"147" "NAVAL ARCHITECTURE AND MARINE ENGINEERING" 897
"148" "PETROLEUM ENGINEERING" 891
"149" "ATMOSPHERIC SCIENCES AND METEOROLOGY" 818
"150" "ARCHITECTURAL ENGINEERING" 817
"151" "ENVIRONMENTAL ENGINEERING" 787
"152" "NEUROSCIENCE" 786
"153" "SCHOOL STUDENT COUNSELING" 725
"154" "MATERIALS SCIENCE" 653
"155" "OCEANOGRAPHY" 617
"156" "NUCLEAR ENGINEERING" 614
"157" "SOCIAL PSYCHOLOGY" 598
"158" "MINING AND MINERAL ENGINEERING" 586
"159" "GEOSCIENCES" 543
"160" "GENETICS" 541
"161" "PHYSICAL SCIENCES" 541
"162" "ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND" 536
"163" "MISCELLANEOUS AGRICULTURE" 525
"164" "NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES" 486
"165" "PHARMACOLOGY" 400
"166" "COGNITIVE SCIENCE AND BIOPSYCHOLOGY" 394
"167" "MATHEMATICS AND COMPUTER SCIENCE" 376
"168" "ACTUARIAL SCIENCE" 364
"169" "SOIL SCIENCE" 348
"170" "GEOLOGICAL AND GEOPHYSICAL ENGINEERING" 342
"171" "ASTRONOMY AND ASTROPHYSICS" 339
"172" "MISCELLANEOUS FINE ARTS" 322
"173" "MILITARY TECHNOLOGIES" 250
"174" "COURT REPORTING" 238
